,"NewsGuard, Does not repeatedly publish false content","NewsGuard, Gathers and presents information responsibly","NewsGuard, Regularly corrects or clarifies errors","NewsGuard, Handles the difference between news and opinion responsibly","NewsGuard, Avoids deceptive headlines","NewsGuard, Website discloses ownership and financing","NewsGuard, Clearly labels advertising","NewsGuard, Reveals who's in charge, including any possible conflicts of interest","NewsGuard, Provides information about content creators","NewsGuard, score","NewsGuard, overall_class","Pew Research Center, known_by_40%","Pew Research Center, total","Pew Research Center, consistently_liberal","Pew Research Center, mostly_liberal","Pew Research Center, mixed","Pew Research Center, mostly conservative","Pew Research Center, consistently conservative","Wikipedia, is_fake","Open Sources, reliable","Open Sources, fake","Open Sources, unreliable","Open Sources, bias","Open Sources, conspiracy","Open Sources, hate","Open Sources, junksci","Open Sources, rumor","Open Sources, blog","Open Sources, clickbait","Open Sources, political","Open Sources, satire","Open Sources, state","Media Bias / Fact Check, label","Media Bias / Fact Check, factual_reporting","Media Bias / Fact Check, extreme_left","Media Bias / Fact Check, right","Media Bias / Fact Check, extreme_right","Media Bias / Fact Check, propaganda","Media Bias / Fact Check, fake_news","Media Bias / Fact Check, some_fake_news","Media Bias / Fact Check, failed_fact_checks","Media Bias / Fact Check, conspiracy","Media Bias / Fact Check, pseudoscience","Media Bias / Fact Check, hate_group","Media Bias / Fact Check, anti_islam","Media Bias / Fact Check, nationalism","Allsides, bias_rating","Allsides, community_agree","Allsides, community_disagree","Allsides, community_label","BuzzFeed, leaning","PolitiFact, Pants on Fire!","PolitiFact, False","PolitiFact, Mostly False","PolitiFact, Half-True","PolitiFact, Mostly True","PolitiFact, True"
21stCenturyWire,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
ABC News,0,0,0,0,0,0,0,1,0,95,1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,8964,6949,somewhat agree,,,,,,,
AMERICAblog News,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,left,,,,,,
Activist Post,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
Addicting Info,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
Al Jazeera,0,1,0,1,0,1,0,1,1,52,0,1,-1,1,0,-1,-1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,2204,3249,somewhat disagree,,0,1,0,0,0,0
Alternet,0,0,0,1,0,0,0,0,0,87.5,1,,,,,,,,,2,,,,,,,,,,1,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,1314,595,strongly agree,left,,,,,,
Anonymous Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,7527,7177,somewhat agree,,,,,,,
BBC UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearing Arms,0,0,0,0,0,1,0,1,0,87.5,1,,,,,,,,,,,,,,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,right,,,,,,
Bipartisan Report,1,1,1,1,1,1,0,0,0,17.5,0,,,,,,,,,,,,2,,,,,,1,,,,questionable_source,,1,0,0,1,0,0,0,0,0,0,0,0,,,,,left,0,1,0,0,0,0
Birmingham Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Breitbart,0,1,0,1,0,1,0,1,0,57,0,0,0,-1,-1,0,1,1,,,,2,3,,,,,,,1,,,questionable_source,,0,0,1,1,0,0,1,1,0,0,0,0,Right,11911,6546,agree,right,2,2,0,0,1,0
Business Insider,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1561,1665,somewhat disagree,,,,,,,
Buzzfeed,0,0,0,0,0,0,0,0,0,100,1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,3062,4197,somewhat disagree,,1,0,0,0,0,0
CBS News,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,4320,3857,somewhat agree,,,,,,,
CNBC,0,0,0,0,0,0,0,1,0,95,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1320,3388,strongly disagree,,,,,,,
CNN,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,23421,24137,somewhat disagree,,0,0,1,0,0,0
CNS News,0,0,1,1,0,0,1,0,0,67.5,1,,,,,,,,,,,1,2,,,,,,,,,,questionable_source,,0,0,1,1,0,0,0,0,0,0,0,0,Right,712,588,somewhat agree,right,,,,,,
Channel 4 UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Sun-Times,0,0,0,0,0,1,0,0,0,92.5,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,567,567,,,,,,,,
Common Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conservative Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conservative Tribune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Current News,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Crikey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crooks and Liars,0,0,0,1,0,0,0,0,1,82.5,1,,,,,,,,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
DC Gazette,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,questionable_source,,0,0,1,1,0,0,0,1,0,0,0,0,,,,,right,,,,,,
Daily Beast,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,1,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,4427,3503,somewhat agree,,,,,,,
Daily Kos,0,1,0,1,1,0,0,0,1,54.5,0,0,-1,1,0,-1,-1,-1,,,,,,,,,,,2,1,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,3796,1525,strongly agree,left,,,,,,
Daily Mail,1,1,1,1,1,0,0,1,1,15,0,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0,1,0,1,0,1,0,1,0,0,0,0,Right,990,885,somewhat agree,,0,0,1,0,0,0
Daily Signal,0,0,0,0,0,0,2,0,0,92.5,1,,,,,,,,,,,,1,,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,137,34,absolutely agree,right,,,,,,
Daily Stormer,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,,,questionable_source,,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
Delaware Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democracy 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Dick Morris Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drudge Report,0,1,1,1,1,1,0,1,1,29.5,0,0,0,-1,-1,0,1,1,,,,,2,,,,,,,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,1631,994,agree,right,2,0,0,0,0,0
Evening Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
FT Westminster Blog,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faking News,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Feministing Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
FiveThirtyEight,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,2561,1470,agree,,,,,,,
Foreign Policy,0,0,0,1,0,0,0,0,0,87.5,1,,,,,,,,,,,,,,,,,,,,,,least_biased,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Fort Russ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortune,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Forward Progessives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
Fox News,0,0,1,0,0,1,0,1,0,75,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,18007,27420,disagree,right,0,0,1,1,0,0
France24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Freedom Daily,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,questionable_source,,0,0,1,1,0,1,0,0,0,0,0,0,,,,,right,1,0,1,0,0,0
Freedom Outpost,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
Freedom-Bunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrontPage Magazine,1,1,1,1,1,1,0,0,0,17.5,0,,,,,,,,,,,,1,,2,,,,,,,,questionable_source,,0,0,1,0,0,0,0,0,0,1,0,0,Right,391,296,somewhat agree,right,,,,,,
Fusion,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
GlobalResearch,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Glossy News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hit and Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,797,733,somewhat agree,right,,,,,,
Hullabaloo Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumansAreFree,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Humor Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Informnapalm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infowars,1,1,1,1,1,0,0,0,0,25,0,,,,,,,,1,,,,,1,,,,,,,,,conspiracy_pseudoscience,1,0,0,0,0,0,0,0,0,0,0,0,0,Right,3579,782,absolutely agree,right,2,1,0,1,0,0
Instapundit,0,1,1,1,0,1,1,0,0,42,0,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,right,,,,,,
Intellectual Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lean Right,284,295,somewhat disagree,,,,,,,
Intellihub,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Interpreter Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Investors Business Daily,0,0,0,0,0,1,0,1,1,82.5,1,,,,,,,,,,,,,,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,692,607,somewhat agree,,1,1,0,0,0,0
JewWorldOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LabourList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LewRockwell,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,3,,,questionable_source,,0,0,1,1,0,0,0,1,1,0,0,0,,,,,,,,,,,
Liberal Democrat Voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Action,1,1,0,1,1,1,2,0,0,22.5,0,,,,,,,,,,,,1,,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,166,119,somewhat agree,,,,,,,
Losercom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSNBC,0,0,1,0,0,0,0,1,0,82.5,1,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,3059,1273,strongly agree,left,1,0,0,0,0,0
Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media Matters for America,0,0,1,0,0,1,0,1,1,70,1,,,,,,,,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,2083,1242,agree,left,,,,,,
Mercury News,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Mint Press News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MotherJones,0,0,0,1,0,0,0,0,0,87.5,1,0,0,1,1,0,-1,-1,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,3008,673,absolutely agree,left,,,,,,
NODISINFO,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
NPR,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,5,0,0,0,0,0,0,0,0,0,0,0,0,Center,16185,11099,somewhat agree,,,,,,,
National Review,0,0,0,0,0,0,0,0,0,100,1,,,,,,,,,,,,,,,,,,,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,6809,3300,strongly agree,right,0,0,0,0,0,1
Natural News,1,1,1,1,1,0,1,0,1,12.5,0,,,,,,,,1,,,,,2,,1,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
New York Daily News,0,0,1,0,0,1,0,1,0,75,1,,,,,,,,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,812,329,strongly agree,,,,,,,
New York Post,0,0,1,0,0,0,0,0,1,82.5,1,,,,,,,,,,,,,,,,,,,,,,right_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,2077,1521,somewhat agree,,0,0,1,0,0,0
